"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods",23064453
"1AD","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences",19651595
"1AG","ALTERRA LIMITED","2008-05-16","Food, Beverage & Tobacco",8333288
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services",6549087
"1VG","VICTORY GOLDFIELDS LIMITED","2021-07-22","Materials",9406886
"29M","29METALS LIMITED","2021-07-02","Materials",1205942050
"2BE","TUBI LIMITED","2019-06-14","Energy","N/A"
"360","LIFE360 INC.","2019-05-10","Software & Services",2177773131
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",60875640
"3DP","POINTERRA LIMITED","2008-03-27","Software & Services",257566358
"3MF","3D METALFORGE LIMITED","2021-03-02","Commercial & Professional Services",17681094
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services",402284467
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment",67333751
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care Equipment & Services",379894470
"5EA","5E ADVANCED MATERIALS INC.",,"Materials",0
"5GG","PENTANET LIMITED","2021-01-29","Telecommunication Services",171562674
"88E","88 ENERGY LIMITED","2000-01-20","Energy",403295933
"8AU","8 AU LIMITED",,"Materials",0
"8CO","8COMMON LIMITED","2014-08-27","Software & Services",36557360
"8IH","8I HOLDINGS LTD","2014-12-17","Diversified Financials",86005438
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services",178425787
"92E","92 ENERGY LIMITED","2021-04-15","Energy",42623141
"99L","99 LOYALTY LIMITED.","2013-10-08","Software & Services",52185724
"9SP","9 SPOKES INTERNATIONAL LIMITED","2016-06-09","Software & Services",14933372
"A1G","AFRICAN GOLD LTD.","2019-02-14","Materials",21403859
"A1M","AIC MINES LIMITED","1993-11-04","Materials",142008908
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation",163785729
"A2M","THE A2 MILK COMPANY LIMITED","2015-03-31","Food, Beverage & Tobacco",4201659383
"A3D","AURORA LABS LIMITED","2016-08-16","Capital Goods",19336597
"A4N","ALPHA HPA LIMITED","2007-10-22","Materials",408541760
"A8G","AUSTRALASIAN METALS LIMITED","2021-05-13","Materials",22672415
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","2001-08-10","Food, Beverage & Tobacco",880039451
"AAJ","ARUMA RESOURCES LIMITED","2010-07-23","Materials",9069228
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","2004-01-07","Food, Beverage & Tobacco",8541166
"AAR","ANGLO AUSTRALIAN RESOURCES NL","1986-11-13","Materials",54848490
"AAU","ANTILLES GOLD LIMITED","1993-11-25","Materials",22800372
"AB1","ABARTA RESOURCES LIMITED",,"Class Pend",0
"ABA","AUSWIDE BANK LTD","1994-09-19","Banks",273759060
"ABB","AUSSIE BROADBAND LIMITED","2020-10-16","Telecommunication Services",1166164465
"ABC","ADBRI LIMITED","1962-05-31","Materials",1827357154
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","2021-12-06","Class Pend",0
"ABP","ABACUS PROPERTY GROUP","2002-11-14","Real Estate",2894740396
"ABR","AMERICAN PACIFIC BORATES LIMITED","2017-07-28","Materials",894798313
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","2002-05-28","Automobiles & Components",11753612
"ABX","AUSTRALIAN BAUXITE LIMITED.","2009-12-24","Materials",22359081
"ABY","ADORE BEAUTY GROUP LIMITED","2020-10-23","Retailing",400029112
"AC8","AUSCANN GROUP HOLDINGS LTD","1989-05-03","Pharmaceuticals, Biotechnology & Life Sciences",37446504
"ACB","A-CAP ENERGY LIMITED","2006-05-19","Energy",143638260
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","2008-06-27","Capital Goods",114204338
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","2021-05-14","Health Care Equipment & Services",873941285
"ACP","AUDALIA RESOURCES LIMITED","2011-07-06","Materials",8997770
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","2014-05-01","Not Applic",140114307
"ACR","ACRUX LIMITED","2004-09-29","Pharmaceuticals, Biotechnology & Life Sciences",28368034
"ACS","ACCENT RESOURCES NL","2005-08-26","Materials",25631501
"ACU","ACUMENTIS GROUP LIMITED","2003-12-05","Real Estate",26937836
"ACW","ACTINOGEN MEDICAL LIMITED","2007-10-16","Pharmaceuticals, Biotechnology & Life Sciences",220631276
"AD1","AD1 HOLDINGS LIMITED","2016-06-23","Media & Entertainment",18095112
"AD8","AUDINATE GROUP LIMITED","2017-06-30","Technology Hardware & Equipment",696363400
"ADA","ADACEL TECHNOLOGIES LIMITED","1998-02-27","Software & Services",85473021
"ADD","ADAVALE RESOURCES LIMITED","1992-02-06","Energy",15093824
"ADH","ADAIRS LIMITED","2015-06-17","Retailing",603241192
"ADN","ANDROMEDA METALS LIMITED","1996-09-17","Materials",397396327
"ADO","ANTEOTECH LTD","2000-04-07","Pharmaceuticals, Biotechnology & Life Sciences",375068434
"ADR","ADHERIUM LIMITED","2015-08-26","Health Care Equipment & Services",24240365
"ADS","ADSLOT LTD.","1987-12-17","Software & Services",49550157
"ADT","ADRIATIC METALS PLC","2018-05-01","Materials",834011900
"ADV","ARDIDEN LTD","2005-10-25","Materials",25840024
"ADX","ADX ENERGY LTD","1987-01-29","Energy",29587109
"ADY","ADMIRALTY RESOURCES NL.","1983-12-01","Materials",19553687
"AE1","AERISON GROUP LTD","2021-07-12","Capital Goods",59657810
"AEE","AURA ENERGY LIMITED","2006-05-30","Energy",99583759
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","2002-12-17","Diversified Financials",1549818633
"AEG","ABSOLUTE EQUITY PERFORMANCE FUND LIMITED","2015-12-16","Not Applic",90904286
"AEI","AERIS ENVIRONMENTAL LTD","2000-09-12","Commercial & Professional Services",23895128
"AER","AEERIS LTD","2015-04-01","Media & Entertainment",10976148
"AEV","AVENIRA LIMITED","2006-10-10","Materials",17688483
"AFA","ASF GROUP LIMITED","1985-05-29","Diversified Financials",43599946
"AFG","AUSTRALIAN FINANCE GROUP LTD","2015-05-22","Banks",702426369
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","1962-06-30","Not Applic",10200580649
"AFL","AF LEGAL GROUP LTD","2003-09-19","Commercial & Professional Services",32700211
"AFP","AFT PHARMACEUTICALS LIMITED","2015-12-22","Pharmaceuticals, Biotechnology & Life Sciences",440698064
"AFR","AFRICAN ENERGY RESOURCES LIMITED","2007-04-18","Energy",29578890
"AFW","APPLYFLOW LIMITED","2010-11-30","Media & Entertainment",14788040
"AGC","AUSTRALIAN GOLD AND COPPER LTD","2021-01-20","Materials",9900000
"AGD","AUSTRAL GOLD LIMITED","1997-04-18","Materials",50821842
"AGE","ALLIGATOR ENERGY LIMITED","2011-02-03","Energy",163734171
"AGG","ANGLOGOLD ASHANTI LIMITED","1999-11-16","Materials",11257629352
"AGH","ALTHEA GROUP HOLDINGS LIMITED","2018-09-21","Pharmaceuticals, Biotechnology & Life Sciences",74983446
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","2001-12-17","Consumer Services",420992411
"AGJ","AGRICULTURAL LAND TRUST","2003-04-10","Real Estate","N/A"
"AGL","AGL ENERGY LIMITED.","2006-10-12","Utilities",3601333972
"AGN","ARGENICA THERAPEUTICS LIMITED","2021-06-11","Pharmaceuticals, Biotechnology & Life Sciences",50122991
"AGR","AGUIA RESOURCES LIMITED","2008-02-13","Materials",18089475
"AGS","ALLIANCE RESOURCES LIMITED","1994-10-19","Materials",35362913
"AGY","ARGOSY MINERALS LIMITED","1997-04-03","Materials",329294931
"AHC","AUSTCO HEALTHCARE LIMITED","2004-09-24","Health Care Equipment & Services",36944564
"AHF","AUSTRALIAN DAIRY NUTRITIONALS GROUP","2006-06-30","Food, Beverage & Tobacco",26820563
"AHI","ADVANCED HUMAN IMAGING LTD","2015-08-17","Software & Services",140733418
"AHK","ARK MINES LIMITED","2011-05-09","Materials",
"AHN","ATHENA RESOURCES LIMITED","2006-11-22","Materials",11381546
"AHQ","ALLEGIANCE COAL LIMITED","2012-05-29","Materials",189048903
"AHX","APIAM ANIMAL HEALTH LIMITED","2015-12-15","Health Care Equipment & Services",122703909
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","1999-02-22","Transportation",11044133528
"AIB","AURORA GLOBAL INCOME TRUST","2007-12-24","Not Applic",756287
"AII","ALMONTY INDUSTRIES INC.","2021-08-02","Materials",213935691
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","2020-09-15","Commercial & Professional Services",152938734
"AIQ","ALTERNATIVE INVESTMENT TRUST","2005-05-08","Not Applic",30940220
"AIR","ASTIVITA LIMITED","2009-12-16","Capital Goods",19252530
"AIS","AERIS RESOURCES LIMITED","2011-02-02","Materials",360732986
"AIV","ACTIVEX LIMITED","2006-04-11","Materials",12576420
"AIZ","AIR NEW ZEALAND LIMITED","1997-10-01","Transportation",1605667246
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","2007-03-19","Health Care Equipment & Services","N/A"
"AJL","AJ LUCAS GROUP LIMITED","1999-08-10","Capital Goods",38281172
